name,SimplifiedDisease,Disease,TissueOfOrigin,url,catalogueNumber,Collection,Species
HKT-1097,Tumour,Tumour,Kidney,https://www.culturecollections.org.uk/nop/product/hkt-1097,98061003,General Cell,Hamster
Ishikawa,Carcinoma,Adenocarcinoma,Uterus,https://www.culturecollections.org.uk/nop/product/ishikawa,99040201,General Cell,Human
T-3-CI-2-0.fl,Leukaemia,Leukaemia,Spleen,https://www.culturecollections.org.uk/nop/product/t-3-ci-2-0fl,99072804,General Cell,Mouse
707.fl,Leukaemia,Erythroleukaemia,Spleen,https://www.culturecollections.org.uk/nop/product/707fl,99072807,General Cell,Mouse
HCA-24,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hca-24,06061903,General Cell,Human
L5178Y-R (LY-R),Lymphoma,Lymphoma,Other,https://www.culturecollections.org.uk/nop/product/l5178y-r-ly-r,90062802,General Cell,Mouse
LA1-55n,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/la1-55n,06041203,General Cell,Human
C1300 CLONE NA,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/c1300-clone-na,93120817,General Cell,Mouse
COV413A,Carcinoma,Carcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/cov413a,07071905,General Cell,Human
R2C,Tumour,Leydig Cell Tumour,Testis,https://www.culturecollections.org.uk/nop/product/r2c,89031606,General Cell,Rat
COR-L64,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/cor-l64,96020749,General Cell,Human
Huh-7D12,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/huh-7d12,01042712,General Cell,Human
RCC4/VHL,Carcinoma,Carcinoma,Kidney,https://www.culturecollections.org.uk/nop/product/rcc4vhl,03112703,General Cell,Human
143B,Sarcoma,Osteosarcoma,Bone,https://www.culturecollections.org.uk/nop/product/143b,91112502,General Cell,Human
PSA1,Carcinoma,Teratocarcinoma,Embryo,https://www.culturecollections.org.uk/nop/product/psa1,85011403,General Cell,Mouse
K562 cl.6,Leukaemia,Myelogenous Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/k562-cl6,85011407,General Cell,Human
C57/B1,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/c57b1,85011438,General Cell,Mouse
Hep-2C (HeLa derivative),Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hep-2c-hela-derivative,85020207,General Cell,Human
INT 407(HeLa derivative),Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/int-407hela-derivative,85051004,General Cell,Human
Phi-1,Carcinoma,Hepatocarcinoma,Liver,https://www.culturecollections.org.uk/nop/product/phi-1,85061101,General Cell,Rat
EJ138,Carcinoma,Carcinoma,Bladder,https://www.culturecollections.org.uk/nop/product/ej138,85061108,General Cell,Human
HT29/219,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ht29219,85061109,General Cell,Human
33B,Other,Oligodendroglioma,Nerve,https://www.culturecollections.org.uk/nop/product/33b,85081901,General Cell,Rat
P3HR-1,Lymphoma,Burkitt Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/p3hr-1,86010701,General Cell,Human
ANGM-CSS,Blastoma,Glioblastoma,Brain,https://www.culturecollections.org.uk/nop/product/angm-css,08040401,General Cell,Human
108CC5-BU-8,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/108cc5-bu-8,08062569,General Cell,Hybrid
108CC5-BU,Blastoma,Neuroblastoma/Glioma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/108cc5-bu,08062566,General Cell,Hybrid
328/11,Blastoma,Neuroblastoma/Glioma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/32811,08062538,General Cell,Mouse
B82 (Hamprecht),Blastoma,Neuroblastoma,Not Specified,https://www.culturecollections.org.uk/nop/product/b82-hamprecht,08062522,General Cell,Mouse
N1E-115-1,Other,Glioma,Nerve,https://www.culturecollections.org.uk/nop/product/n1e-115-1,08062511,General Cell,Mouse
N4TG3,Other,Glioma,Nerve,https://www.culturecollections.org.uk/nop/product/n4tg3,08062515,General Cell,Mouse
NS20Y-TG,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/ns20y-tg,08062512,General Cell,Mouse
HRA-19a1.1 Alpha2 B,Carcinoma,Adenocarcinoma,Rectum,https://www.culturecollections.org.uk/nop/product/hra-19a11-alpha2-b,09071522,General Cell,Human
HRA-19a1.1 Alpha2Alpha1 B,Carcinoma,Adenocarcinoma,Rectum,https://www.culturecollections.org.uk/nop/product/hra-19a11-alpha2alpha1-b,09071524,General Cell,Human
Mero-83,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/mero-83,09100106,General Cell,Human
MKL-1,Other,Mesothelioma,Skin,https://www.culturecollections.org.uk/nop/product/mkl-1,09111801,General Cell,Human
ES-R1-ECFP CK8/ECFP,Carcinoma,Carcinoma,Embryo,https://www.culturecollections.org.uk/nop/product/es-r1-ecfp-ck8ecfp,07072005,General Cell,Mouse
NO36,Other,Mesothelioma,Skin,https://www.culturecollections.org.uk/nop/product/no36-2,10092312,General Cell,Human
MM383,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm383-2,10092317,General Cell,Human
4-11,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/4-11,11033103,General Cell,Human
HeB5,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/heb5,11033104,General Cell,Mouse
SDM103T2,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/sdm103t2,11120712,General Cell,Human
Me11-TG6,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/me11-tg6,11120838,General Cell,Rat
LIM2099,Carcinoma,Adenocarcinoma,Liver,https://www.culturecollections.org.uk/nop/product/lim2099,12062002,General Cell,Human
MM473,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm473,12070508,General Cell,Human
FM-3,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-3,13012407,General Cell,Human
FM-9,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-9,13012416,General Cell,Human
FM-72,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-72,13012415,General Cell,Human
FM-93/2,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-932,13012419,General Cell,Human
FM-74,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-74,13012422,General Cell,Human
FM-82,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-82,13012426,General Cell,Human
FM-56,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-56,13012427,General Cell,Human
FM-81,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-81,13012428,General Cell,Human
FM-70,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-70,13012491,General Cell,Human
mel-202,Other,Melanoma,Eye,https://www.culturecollections.org.uk/nop/product/mel-202,13012457,General Cell,Human
UKRV-Mel-17,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ukrv-mel-17,13012514,General Cell,Human
Ma-Mel-6,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/ma-mel-6,13012465,General Cell,Human
Ma-Mel-39a,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/ma-mel-39a,13012489,General Cell,Human
NZM4,Other,Melanoma,Peritoneum,https://www.culturecollections.org.uk/nop/product/nzm4,17020205,General Cell,Human
NZM5,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/nzm5,17020206,General Cell,Human
NZOV9,Carcinoma,Adenocarcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/nzov9,17020215,General Cell,Human
OVPA8,Carcinoma,Adenocarcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/ovpa8,19062601,General Cell,Human
HT29-5FU resistant (1 microMolar),Cancer,Cancer,Colon,https://www.culturecollections.org.uk/nop/product/ht29-5fu-resistant-1-micromolar,15121704,General Cell,Human
HT29-MTX resistant (10 microMolar),Cancer,Cancer,Colon,https://www.culturecollections.org.uk/nop/product/ht29-mtx-resistant-10-micromolar,15121711,General Cell,Human
MM170,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm170-2,10092315,General Cell,Human
AC29,Other,Mesothelioma,Other,https://www.culturecollections.org.uk/nop/product/ac29-3,21102109,General Cell,Mouse
HeLa H2B-GFP,Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela-h2b-gfp,21102107,General Cell,Human
MCC6,Carcinoma,Carcinoma/Neoplasms,Lymph node,https://www.culturecollections.org.uk/nop/product/mcc6,21102105,General Cell,Human
"My-La, Lymphoma",Lymphoma,Non-Hodgkin Lymphoma,Lymph node,https://www.culturecollections.org.uk/nop/product/my-la-lymphoma,95051033,General Cell,Human
RIN-5F,Tumour,Islet Cell Tumour,Pancreas,https://www.culturecollections.org.uk/nop/product/rin-5f,95090402,General Cell,Rat
LS174T,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ls174t,87060401,General Cell,Human
AB22,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/ab22-2,10092307,General Cell,Mouse
8305C,Carcinoma,Carcinoma,Thyroid gland,https://www.culturecollections.org.uk/nop/product/8305c,94090183,General Cell,Human
KARPAS-384,Lymphoma,Non-Hodgkin Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/karpas-384,06120602,General Cell,Human
KARPAS-1718,Blastoma,Neuroblastoma/Glioma Hybrid,Spleen,https://www.culturecollections.org.uk/nop/product/karpas-1718,08072401,General Cell,Human
CA46,Lymphoma,Burkitt Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/ca46,95010509,General Cell,Human
C-4-II,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/c-4-ii,88102701,General Cell,Human
C-4I,Carcinoma,Squamous Cell Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/c-4i,89051702,General Cell,Human
ChaGo-K-1,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/chago-k-1,96020948,General Cell,Human
DMS 53,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/dms-53,95062823,General Cell,Human
COR-L311,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/cor-l311,96020721,General Cell,Human
COLO 792,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/colo-792,93052616,General Cell,Human
COR-L95,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/cor-l95,96020733,General Cell,Human
COR-L321,Carcinoma,Carcinoma,Not Specified,https://www.culturecollections.org.uk/nop/product/cor-l321,96020756,General Cell,Human
COR-L105,Carcinoma,Adenocarcinoma,Lung,https://www.culturecollections.org.uk/nop/product/cor-l105,92031918,General Cell,Human
COLO 679,Other,Cutaneous Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/colo-679,87061210,General Cell,Human
GP5d,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/gp5d,95090715,General Cell,Human
EB-3,Lymphoma,Burkitt Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/eb-3,90121003,General Cell,Human
H9,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/h9,85050301,General Cell,Human
KYSE-270,Carcinoma,Squamous Cell Carcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/kyse-270,94072021,General Cell,Human
HCT 116,Carcinoma,Carcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hct-116,91091005,General Cell,Human
KATO-III,Carcinoma,Adenocarcinoma,Stomach,https://www.culturecollections.org.uk/nop/product/kato-iii,86093004,General Cell,Human
HT55,Carcinoma,Carcinoma,Rectum,https://www.culturecollections.org.uk/nop/product/ht55,85061105,General Cell,Human
EoL-1 cell,Leukaemia,Eosinophilic Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/eol-1-cell,94042252,General Cell,Human
OE19,Carcinoma,Adenocarcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/oe19,96071721,General Cell,Human
MFM-223,Carcinoma,Carcinoma,Mammary gland,https://www.culturecollections.org.uk/nop/product/mfm-223,98050130,General Cell,Human
LS 123,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ls-123,94120801,General Cell,Human
MEG-01,Leukaemia,Myelogenous Leukaemia,Bone,https://www.culturecollections.org.uk/nop/product/meg-01,94012401,General Cell,Human
NCI-H727,Tumour,Carcinoid Tumour,Lung,https://www.culturecollections.org.uk/nop/product/nci-h727,94060303,General Cell,Human
KYSE-410,Carcinoma,Squamous Cell Carcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/kyse-410,94072023,General Cell,Human
MDA-MB-361,Carcinoma,Adenocarcinoma,Breast,https://www.culturecollections.org.uk/nop/product/mda-mb-361,92020423,General Cell,Human
MIA-Pa-Ca-2,Carcinoma,Adenocarcinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/mia-pa-ca-2,85062806,General Cell,Human
OE33,Carcinoma,Adenocarcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/oe33,96070808,General Cell,Human
OV56,Carcinoma,Carcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/ov56,96020759,General Cell,Human
SW 837,Carcinoma,Adenocarcinoma,Rectum,https://www.culturecollections.org.uk/nop/product/sw-837,91031104,General Cell,Human
OE21,Carcinoma,Squamous Cell Carcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/oe21,96062201,General Cell,Human
SW 948,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/sw-948,91030714,General Cell,Human
RD,Sarcoma,Rhabdomyosarcoma,Embryo,https://www.culturecollections.org.uk/nop/product/rd,85111502,General Cell,Human
T98G,Blastoma,Glioblastoma,Brain,https://www.culturecollections.org.uk/nop/product/t98g,92090213,General Cell,Human
SK-GT-4,Carcinoma,Adenocarcinoma,Oesophagus,https://www.culturecollections.org.uk/nop/product/sk-gt-4,11012007,General Cell,Human
SNU-C2B,Carcinoma,Adenocarcinoma,Intestine,https://www.culturecollections.org.uk/nop/product/snu-c2b,96020932,General Cell,Human
SK-N-SH,Blastoma,Neuroblastoma,Bone,https://www.culturecollections.org.uk/nop/product/sk-n-sh,86012802,General Cell,Human
SK LU 1,Carcinoma,Adenocarcinoma,Lung,https://www.culturecollections.org.uk/nop/product/sk-lu-1,93120835,General Cell,Human
TT,Carcinoma,Carcinoma,Thyroid gland,https://www.culturecollections.org.uk/nop/product/tt,92050721,General Cell,Human
SW 48,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/sw-48,89012702,General Cell,Human
SW 1116,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/sw-1116,87071006,General Cell,Human
ZR-75-30,Carcinoma,Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/zr-75-30,88113004,General Cell,Human
A431,Carcinoma,Squamous Cell Carcinoma,Skin,https://www.culturecollections.org.uk/nop/product/a431,85090402,General Cell,Human
COLO 668,Carcinoma,Small Cell Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/colo-668,87061209,General Cell,Human
A375,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/a375,88113005,General Cell,Human
A 172,Blastoma,Glioblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/a-172,88062428,General Cell,Human
A673,Sarcoma,Sarcoma,Muscle,https://www.culturecollections.org.uk/nop/product/a673,85111504,General Cell,Human
A2058,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/a2058,91100402,General Cell,Human
A549,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/a549,86012804,General Cell,Human
Y3.AG.1.2.3,Myeloma,Myeloma,Other,https://www.culturecollections.org.uk/nop/product/y3ag123,85110502,General Cell,Rat
NS0-Turbodoma,Myeloma,Myeloma,Other,https://www.culturecollections.org.uk/nop/product/ns0-turbodoma,06020202,General Cell,Mouse
HeLa9903,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela9903,11033105,General Cell,Human
HS-Sultan,Lymphoma,Burkitt Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/hs-sultan,87012701,General Cell,Human
745C2,Leukaemia,Erythroleukaemia,Blood,https://www.culturecollections.org.uk/nop/product/745c2,87030901,General Cell,Mouse
CRI-G1,Other,Insulinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/cri-g1,87052701,General Cell,Rat
CRI-D11,Other,Insulinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/cri-d11,88031604,General Cell,Rat
CRI-D2,Other,Insulinoma,Pancreas,https://www.culturecollections.org.uk/nop/product/cri-d2,88031605,General Cell,Rat
WISH (HeLa derivative),Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/wish-hela-derivative,88102403,General Cell,Human
N1E-115,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/n1e-115,88112303,General Cell,Mouse
K-BALB (K-234),Sarcoma,Sarcoma,Embryo,https://www.culturecollections.org.uk/nop/product/k-balb-k-234,89092101,General Cell,Mouse
K6H6/B5,Myeloma,Myeloma,Other,https://www.culturecollections.org.uk/nop/product/k6h6b5,89101606,General Cell,Hybrid
L132 (HeLa derivative),Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/l132-hela-derivative,89111004,General Cell,Human
AGLCL,Cancer,Normal Tissue from Cancer Patient,Blood,https://www.culturecollections.org.uk/nop/product/aglcl,89120566,General Cell,Human
84BR,Cancer,Normal Tissue from Cancer Patient,Skin,https://www.culturecollections.org.uk/nop/product/84br,90011805,General Cell,Human
174BR,Tumour,Multiple Primary Tumours,Skin,https://www.culturecollections.org.uk/nop/product/174br,90011895,General Cell,Human
CCRF S-180 II,Sarcoma,CFW Sarcoma 180,Not Specified,https://www.culturecollections.org.uk/nop/product/ccrf-s-180-ii,90011901,General Cell,Mouse
LA-4,Other,Benign Lung Adenoma,Lung,https://www.culturecollections.org.uk/nop/product/la-4,90040512,General Cell,Mouse
BCL1 Clone CW13.20-3B3,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/bcl1-clone-cw1320-3b3,90061904,General Cell,Mouse
Meta 10,Cancer,Lung Cancer,Lung,https://www.culturecollections.org.uk/nop/product/meta-10,90062271,General Cell,Mouse
DHD/K12/TRb,Carcinoma,Carcinoma,Colon,https://www.culturecollections.org.uk/nop/product/dhdk12trb,90062901,General Cell,Rat
RPMI 1846,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/rpmi-1846,90102527,General Cell,Hamster
DLD-1,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/dld-1,90102540,General Cell,Human
GS-109-V-34,Cancer,Normal Tissue from Cancer Patient,Skin,https://www.culturecollections.org.uk/nop/product/gs-109-v-34,90110504,General Cell,Human
CCD-33Lu,Cancer,Normal Tissue from Cancer Patient,Lung,https://www.culturecollections.org.uk/nop/product/ccd-33lu,90110515,General Cell,Human
Jensen sarcoma,Sarcoma,Sarcoma,Connective tissue,https://www.culturecollections.org.uk/nop/product/jensen-sarcoma,90111913,General Cell,Rat
KG1a,Leukaemia,Myelogenous Leukaemia,Bone,https://www.culturecollections.org.uk/nop/product/kg1a,91030101,General Cell,Human
M1,Leukaemia,Myelogenous Leukaemia,Bone,https://www.culturecollections.org.uk/nop/product/m1,91110711,General Cell,Mouse
COR-L51,Carcinoma,Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/cor-l51,92031916,General Cell,Human
B16-F1,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/b16-f1,92101203,General Cell,Mouse
COLO 857,Other,Melanoma,Lymph node,https://www.culturecollections.org.uk/nop/product/colo-857,93051120,General Cell,Human
HTC,Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/htc,93120108,General Cell,Rat
JIII (HeLa derivative),Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/jiii-hela-derivative,93120824,General Cell,Human
QT 6,Sarcoma,Fibrosarcoma,Muscle,https://www.culturecollections.org.uk/nop/product/qt-6,93120831,General Cell,Quail
SK MES 1,Carcinoma,Squamous Cell Carcinoma,Lung,https://www.culturecollections.org.uk/nop/product/sk-mes-1,93120837,General Cell,Human
COLO 794,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/colo-794,94072237,General Cell,Human
SK-N-BE(2),Blastoma,Neuroblastoma,Brain,https://www.culturecollections.org.uk/nop/product/sk-n-be2,95011815,General Cell,Human
Hepa-1c1c7,Other,Hepatoma,Liver,https://www.culturecollections.org.uk/nop/product/hepa-1c1c7,95090613,General Cell,Mouse
GP2d,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/gp2d,95090714,General Cell,Human
NCI-H69/CPR,Cancer,Small Cell Cancer,Lung,https://www.culturecollections.org.uk/nop/product/nci-h69cpr,96042328,General Cell,Human
JVM-13,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/jvm-13,96090516,General Cell,Human
BICR/M1Rk,Carcinoma,Adenocarcinoma,Mammary gland,https://www.culturecollections.org.uk/nop/product/bicrm1rk,96112021,General Cell,Rat
HeLa DH,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/hela-dh,96112022,General Cell,Human
PE/CA-PJ41 (clone D2),Carcinoma,Squamous Cell Carcinoma,Mouth,https://www.culturecollections.org.uk/nop/product/peca-pj41-clone-d2,98020207,General Cell,Human
HMT-3522 S1,Carcinoma,Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/hmt-3522-s1,98102210,General Cell,Human
LBRM-TG6,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/lbrm-tg6,96020937,General Cell,Mouse
N2102Ep Clone 2/A6,Carcinoma,Carcinoma,Other,https://www.culturecollections.org.uk/nop/product/n2102ep-clone-2a6,06011803,General Cell,Human
577MF,Carcinoma,Carcinoma,Other,https://www.culturecollections.org.uk/nop/product/577mf,06011802,General Cell,Human
HCA-2,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hca-2,06061901,General Cell,Human
LA-N-2,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/la-n-2,06041202,General Cell,Human
WERI,Blastoma,Retinoblastoma,Eye,https://www.culturecollections.org.uk/nop/product/weri,06070602,General Cell,Human
VP303,Carcinoma,Carcinoma,Breast,https://www.culturecollections.org.uk/nop/product/vp303,05092806,General Cell,Human
COV362,Carcinoma,Carcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/cov362,07071910,General Cell,Human
COV318,Carcinoma,Carcinoma,Ovary,https://www.culturecollections.org.uk/nop/product/cov318,07071903,General Cell,Human
1301,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/1301,01051619,General Cell,Human
RCC4 plus vector alone,Carcinoma,Carcinoma,Kidney,https://www.culturecollections.org.uk/nop/product/rcc4-plus-vector-alone,03112702,General Cell,Human
HT29 gluc C1,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/ht29-gluc-c1,92012401,General Cell,Human
P3U1,Myeloma,Myeloma,Skin,https://www.culturecollections.org.uk/nop/product/p3u1,85011417,General Cell,Mouse
Bu25 TK-,Carcinoma,Carcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/bu25-tk-,85022104,General Cell,Human
HTC (BUdR),Carcinoma,Hepatocellular Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/htc-budr,85061110,General Cell,Rat
PLC/PRF/5,Carcinoma,Carcinoma,Liver,https://www.culturecollections.org.uk/nop/product/plcprf5,85061113,General Cell,Human
RAW 264,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/raw-264,85062803,General Cell,Mouse
BW5147.G.1.4.OUA/R.1,Lymphoma,Lymphoma,Blood,https://www.culturecollections.org.uk/nop/product/bw5147g14ouar1-2,85082302,General Cell,Mouse
WEHI 3B,Leukaemia,Leukaemia,Blood,https://www.culturecollections.org.uk/nop/product/wehi-3b,86013003,General Cell,Mouse
Clone 707,Leukaemia,Erythroleukaemia,Blood,https://www.culturecollections.org.uk/nop/product/clone-707,86052101,General Cell,Mouse
N115-BU-1,Carcinoma,Carcinoma,Nerve,https://www.culturecollections.org.uk/nop/product/n115-bu-1,08062547,General Cell,Mouse
N115-BU-10,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/n115-bu-10,08062559,General Cell,Mouse
108CC5T-BU-4,Blastoma,Neuroblastoma/Glioma Hybrid,Nerve,https://www.culturecollections.org.uk/nop/product/108cc5t-bu-4,08062571,General Cell,Hybrid
328/14,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/32814,08062541,General Cell,Mouse
A9(Hamprecht),Blastoma,Neuroblastoma,Not Specified,https://www.culturecollections.org.uk/nop/product/a9hamprecht,08062526,General Cell,Mouse
N18 (Hamprecht),Other,Glioma,Nerve,https://www.culturecollections.org.uk/nop/product/n18-hamprecht,08062527,General Cell,Mouse
N18TG2,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/n18tg2,08062523,General Cell,Mouse
NS20Y-BU-2,Blastoma,Neuroblastoma,Nerve,https://www.culturecollections.org.uk/nop/product/ns20y-bu-2,08062502,General Cell,Mouse
NH15-CA2,Blastoma,Neuroblastoma,Brain,https://www.culturecollections.org.uk/nop/product/nh15-ca2,08062525,General Cell,Hybrid
MT-4,Blastoma,Neuroblastoma,Not Specified,https://www.culturecollections.org.uk/nop/product/mt-4,08081402,General Cell,Human
Vx2,Lymphoma,Lymphoma,Not Specified,https://www.culturecollections.org.uk/nop/product/vx2-2,90030912,General Cell,Rabbit
HCA-7 Colony 24,Carcinoma,Adenocarcinoma,Colon,https://www.culturecollections.org.uk/nop/product/hca-7-colony-24,09071509,General Cell,Human
Mero-84,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/mero-84,09100107,General Cell,Human
MS-1,Other,Mesothelioma,Skin,https://www.culturecollections.org.uk/nop/product/ms-1,09111802,General Cell,Human
MM370,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm370-2,10092316,General Cell,Human
11-4,Carcinoma,Adenocarcinoma,Cervix,https://www.culturecollections.org.uk/nop/product/11-4,11033102,General Cell,Human
MM485,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm485,11072803,General Cell,Human
Shmac 1,Cancer,Prostate Cancer,Prostate gland,https://www.culturecollections.org.uk/nop/product/shmac-1,11102001,General Cell,Human
CARM-L12 TG3,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/carm-l12-tg3,11120833,General Cell,Rat
CARM-L1 TG3,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/carm-l1-tg3,11120835,General Cell,Rat
ZL55,Other,Mesothelioma,Lung,https://www.culturecollections.org.uk/nop/product/zl55-2,12050301,General Cell,Human
MM537,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/mm537,12070509,General Cell,Human
FM-55-P,Other,Melanoma,Skin,https://www.culturecollections.org.uk/nop/product/fm-55-p,13012417,General Cell,Human
